id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
41237296,Luxury Attic Jacuzzi a sfioro Vasca Ovale & Camino,323693833,Alessandro,,Porto - Saragozza,44.49925,11.33986,Entire home/apt,1907,31,0,,,1,364,0,
41360275,"San Felice Rooftop, a due passi da Piazza Maggiore",325160732,Marcello,,Porto - Saragozza,44.49711,11.33006,Entire home/apt,170,3,134,2025-08-30,1.94,1,240,27,IT037006C2VJRQS5TD
41368329,"Ostello Umile - ""Jungle"" Private Bedroom",4724466,Alfio,,Santo Stefano,44.5009,11.3495,Private room,52,1,121,2025-08-30,1.75,9,159,19,IT037006B4VSSJA9ZT
41368936,"Ostello Umile - ""The Office"" Private Bedroom",4724466,Alfio,,Santo Stefano,44.49957,11.34912,Private room,52,1,78,2025-09-06,1.13,9,160,37,IT037006B4VSSJA9ZT
41390238,B&B Galleria Cavour DOUBLE,21451064,Nataliya,,Santo Stefano,44.49164,11.34338,Private room,479,1,3,2022-02-21,0.06,3,96,0,IT037006B4LTM2U8T
41391171,B&B Galleria Cavour KING DELUXE,21451064,Nataliya,,Santo Stefano,44.49344,11.34414,Private room,504,1,4,2023-04-30,0.08,3,98,0,IT037006B4LTM2U8T
41400026,"Studio, garden, parking close to airport / center",325615439,Diego,,Porto - Saragozza,44.50025,11.32187,Private room,104,1,242,2025-10-05,3.47,1,42,56,IT037006C1646ZZF3W
41402147,Dame 4,286864879,Giuseppe,,Santo Stefano,44.48953,11.34823,Entire home/apt,233,2,8,2023-05-31,0.16,1,254,0,IT037006C13GXU5PX5
41403704,Casa Bonita Bolognina: cozy and sunny house,8981194,Ilenia,,Navile,44.5120981,11.3472205,Entire home/apt,143,2,37,2025-10-03,1.19,2,49,11,IT037006C2L3EBLZWJ
41433175,Bologna Central Apartments - Righi 19,200592620,Edoardo,,Santo Stefano,44.4982,11.34506,Entire home/apt,90,1,104,2025-08-18,1.53,3,131,15,IT037006B45SHVKSEL
41464985,n.2 Family-friendly apartment with free parking,105466009,Caterina,,Santo Stefano,44.49855,11.35034,Entire home/apt,150,2,277,2025-09-14,4.07,4,287,54,IT037006C2BHBJOMYA
41473025,Suite with Balcony - D'Azeglio & Galluzzi Suites,51997280,Andrea,,Santo Stefano,44.491943359375,11.341985702514648,Entire home/apt,427,1,5,2024-10-15,0.14,3,172,1,IT037006B47ARQZVAO
41499355,Morgana sotto le torri - CENTRO STORICO,182236682,Annalisa,,Santo Stefano,44.49549,11.34732,Entire home/apt,322,1,4,2025-04-04,0.06,4,76,2,IT037006B43ZLK7M4L
41542567,Luxury Apartment with Terrace - Two Towers View,327258630,Design Club Collection,,Porto - Saragozza,44.49841,11.33898,Entire home/apt,227,1,55,2025-04-05,0.86,36,216,3,IT037006B4M2QAOBSM
41544623,MOONLIGHT CENTRO BOLOGNA,136592569,Yodit,,Santo Stefano,44.48963,11.35411,Entire home/apt,,2,0,,,4,0,0,IT037006B4C63ZFUZB
41548820,Camera con bagno privato - Bologna centro,28095362,Leonardo,,Santo Stefano,44.50189,11.3527,Private room,53,2,107,2025-09-06,3.35,2,316,48,IT037006C1N6V3MQSO
