id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1333892107096013249,Coremi 8,129842232,Corrado,,Avvocata,40.85484,14.24814,Shared room,31,1,0,,,14,347,0,it063049c24xx8apyn
1334289074149042119,301 - king superior,673025387,Giorgio,,Pendino,40.8496676,14.260389,Private room,151,1,0,,,4,82,0,IT063049B4XATL2SP8
1334582553650153366,Il Vicoletto a Chiaia,128841116,Dimorra,,San Ferdinando,40.83451387961678,14.243802880497407,Entire home/apt,68,1,1,2025-04-13,0.44,137,344,1,IT063049C2MPKOMY8S
1334718511437463972,Castel Dell'Ovo,314112118,Antonio,,Avvocata,40.8487851,14.2496262,Private room,,1,0,,,6,347,0,IT063049B4WPKW25D6
1334804247008987528,Dimora Presutto,673160819,Annalisa,,San Ferdinando,40.83394675414015,14.247850255326851,Entire home/apt,117,1,0,,,1,360,0,IT063049C2PLK7BQFX
1334854887097545243,Sea & Jungle Lux-  5bdr +5bth+ big terrace- Centro,554383515,Carlo,,Pendino,40.849905468079285,14.26804064757934,Entire home/apt,,1,11,2025-06-02,2.23,4,230,11,IT063049B4UOCZHZQQ
1335282702283318128,Appartamento CasaAnita,348277884,Anita,,San Carlo all'Arena,40.8718598031959,14.274503141571817,Entire home/apt,53,1,3,2025-06-01,1.20,2,330,3,IT063049C27BPGLT8M
1335322113832352724,Penthouse Napoli,673308132,Antonio,,Mercato,40.84752,14.27267,Entire home/apt,95,1,2,2025-06-15,0.82,1,218,2,IT063049B4HJ5KFGPN
1335352669036723461,Casa vacanze per brevi periodi,416013335,Yuliia,,Stella,40.85909369206183,14.251116114911305,Entire home/apt,96,1,0,,,1,350,0,IT063049C2VL4ISLZW
1335356109505070370,Appartamento Gold House,673314970,Giusy Valentina,,San Giovanni a Teduccio,40.829717906740704,14.311948879098523,Entire home/apt,63,2,0,,,1,362,0,IT063049C2GGYF9DPQ
1335363977350908843,Casa Atri Spaccanapoli Centro Storico,673316624,Maria Rosaria,,San Lorenzo,40.850841728526376,14.254813222753912,Entire home/apt,56,2,21,2025-06-16,4.60,1,79,21,IT063049C2Z2M64Z37
1335424235706151686,casa anna,673331221,Anna,,Porto,40.84161862749625,14.253573604893512,Entire home/apt,93,2,3,2025-05-09,0.78,1,279,3,IT0630492239SSAUP6
1335478225571918716,appartamento luxury in centro,328382331,Christian,,Pendino,40.85089058136049,14.264374369802136,Entire home/apt,558,1,0,,,1,179,0,IT063049B4JEJ8GGV8
1335623410997082116,Serenity luxury room,577301177,Serena,,Chiaia,40.83858030086062,14.23989480566228,Private room,133,1,0,,,2,350,0,IT063049C2PJNWNQZP
1336124578490158556,Golfo di Napoli,314112118,Antonio,,Avvocata,40.8487851,14.2496262,Private room,,1,0,,,6,334,0,IT063049B4WPKW25D6
1336133570501894122,Maschio Angioino,314112118,Antonio,,Avvocata,40.8487851,14.2496262,Private room,,1,0,,,6,331,0,IT063049B4WPKW25D6
1336143867977764967,Finestrella di Marechiaro,314112118,Antonio,,Avvocata,40.8487851,14.2496262,Private room,,1,1,2025-03-09,0.29,6,356,1,IT063049B4WPKW25D6
1336147661381069370,Palazzo Donn' Anna,314112118,Antonio,,Avvocata,40.8487851,14.2496262,Private room,,1,0,,,6,340,0,IT063049B4WPKW25D6
1336153587232686063,Piazza Plebiscito,314112118,Antonio,,Avvocata,40.8487851,14.2496262,Private room,,1,0,,,6,303,0,IT063049B4WPKW25D6
1336232262713347914,Apartment Maison Pochet,673553924,Mario,,Pendino,40.846025537700655,14.261498150640126,Entire home/apt,,1,3,2025-05-13,1.27,1,236,3,IT063049B4OCY84HBK
1336262799991701745,Studio Jester,158887172,Clelia,,San Giuseppe,40.84567906434473,14.249227811639415,Entire home/apt,120,1,0,,,1,322,0,IT063049C2B6BYIGF3
1337526383124460793,"""Noviello Apartments""VIA DEI MILLE 4 posti letto",548347216,Luigi,,Chiaia,40.83651,14.23791,Entire home/apt,133,2,14,2025-06-18,5.19,1,99,14,IT063049C2VAF8QDF6
1337714558896388349,Boutique Luxury Suite,673946317,Alberto,,San Lorenzo,40.8511171,14.2512877,Private room,153,1,4,2025-06-10,1.10,3,347,4,IT063049B4NBFG46BX
1337734021101982982,Boutique Luxury suite 3,673946317,Alberto,,San Lorenzo,40.8511171,14.2512877,Private room,208,1,3,2025-04-23,0.73,3,357,3,IT063049B4NBFG46BX
1337742183379342182,Boutique luxury suite 2,673946317,Alberto,,San Lorenzo,40.8511171,14.2512877,Private room,144,1,1,2025-03-23,0.34,3,352,1,IT063049B4NBFG46BX
1337749568166489811,Domus Luca Luxury Apartment in Naples - My Place,586104034,Marco,,Avvocata,40.857586389371775,14.242864223227574,Entire home/apt,160,2,8,2025-06-02,2.73,12,334,8,IT063049C1YZUAGAF9
1337785258445274605,NapArt Central Apartment in Naples - My Place,586104034,Marco,,Montecalvario,40.84415,14.24598,Entire home/apt,253,2,1,2025-04-27,0.56,12,349,1,IT063049C1QZM33OZ5
1337830989493968776,Maestrale House,674000739,Vittorio,,San Pietro a Patierno,40.87586070569099,14.305956827978068,Entire home/apt,66,1,5,2025-06-11,3.26,1,151,5,IT063049C2QCLFMMJQ
